,feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,ci_lower_width/ri_width,ci_upper_width/ri_width,valid_CI_lower_limit,valid_CI_upper_limit,median,q1,q3
0,Speaking_Rate,-1.8835444687979328,1.8624189464023346,"(-2.103771545725876, -1.6563509045876526)","(1.715459199614647, 2.2428457041148167)",0.11944073968333282,0.1407879485315193,True,True,-0.025284500811221404,-0.6458924263821058,0.7228810613870131
1,Articulation_Rate,-1.8201197536514413,2.151623820407319,"(-2.0790442854931874, -1.5476706161395857)","(1.8807474517867075, 2.3347471494671304)",0.1337885136453022,0.11430740409468995,True,True,0.006440390783149333,-0.6502115329079622,0.6208620107325629
2,Phonation_Ratio,-2.410274025581184,1.5929817270959135,"(-2.518333166338251, -2.08599944367207)","(1.4050946767415433, 2.160929076097077)",0.10799552898339468,0.18880492430444507,True,True,0.0719166950683703,-0.49488713734724993,0.6819117639882284
3,Pause_Rate,-1.7546772932940193,2.1435507911237712,"(-2.632467090556839, -1.6750344803969097)","(1.8802912395459805, 2.4921166510584367)",0.2456071295538173,0.15694961871473811,False,True,-0.03867360844606242,-0.6749368018633066,0.5294674562795847
4,Mean_Pause_Duration,-1.1168233564961796,1.9920232724377596,"(-2.8764196783796816, -1.0647374936862448)","(1.7045481314880082, 2.7915574423040717)",0.5827505827505824,0.3496503496503499,False,False,-0.09095831941352092,-0.5289971904983255,0.3846082540685053
5,mean_F0,-1.126514470722007,2.5436826287024306,"(-1.185971091073219, -1.0860565387552914)","(1.5254241553092613, 3.4342495508271864)",0.027223211618143433,0.5200879799663262,True,False,-0.18983865020663515,-0.5404748717915575,0.2481902015139066
6,stdev_F0_Semitone,-1.1925542955855661,2.2268696695277677,"(-1.2447506023959607, -1.1432034562950153)","(1.4747954282129034, 4.529003728571837)",0.029697149910914808,0.8931938044300699,True,False,-0.16475707897060426,-0.520385154977688,0.286039639287641
7,mean_dB,-2.4912928605564835,0.9916070882933805,"(-3.0292750287295522, -2.1852979971864457)","(0.9160730274006498, 1.0827994867466664)",0.24232020555795974,0.04787001113858399,False,True,0.33672051343832343,-0.2926512253949258,0.6228963704919068
8,range_ratio_dB,-0.3624718637733535,0.5764636452341303,"(-0.8456480159425723, -0.22359723723710465)","(0.38213341120288064, 0.7866436428381226)",0.6625063944626144,0.43081790789107094,False,False,0.014637333465642399,-0.019786552473990523,0.03831800084928067
9,HNR_dB,-1.8283809425618425,1.9997382481541377,"(-1.8824395453592146, -1.5938684419159455)","(1.7649066274801, 2.382853610540578)",0.07538195366098234,0.16142313033490013,True,True,-0.08581546714997162,-0.6830484207554243,0.6206425159080788
10,Spectral_Slope,-1.8285816568146889,1.9734810683875352,"(-2.2006076177420364, -1.7043629954663502)","(1.7828832477170606, 2.429386705946607)",0.1305198409763984,0.17004018738148519,True,True,-0.010253044582031136,-0.6379271285826191,0.5753089973142478
11,Spectral_Tilt,-1.6380615026561756,2.128133532746166,"(-1.9963506536702984, -1.5408387047656296)","(1.7990852838837308, 2.481368773262736)",0.12094751987691649,0.18115989293319137,True,True,-0.046523221336551394,-0.6330656410008042,0.5645825892534453
12,Cepstral_Peak_Prominence,-1.7131962896459267,2.166054156190666,"(-1.7860231483275553, -1.5692629042902435)","(1.9480629665644713, 2.3770764054080833)",0.05587683679200186,0.11059183850943442,True,True,-0.07200348623297925,-0.7151981372728278,0.6173251765401159
13,mean_F1_Loc,-1.2467796880217177,2.177123523754573,"(-1.3627020480687022, -1.1297247229131018)","(1.6834531957870893, 2.5053323783951407)",0.06804436654467631,0.2400415934017211,True,False,-0.13855063516004887,-0.5473978893015511,0.3473334099110483
14,std_F1_Loc,-1.480410806708219,2.730808978174141,"(-1.5374297782717636, -1.2958928043249074)","(2.098240573791626, 2.976270045980647)",0.057355584910086466,0.2084976603075939,True,False,-0.19631311286390388,-0.647222516972642,0.47122248258778754
15,mean_B1_Loc,-1.2696848776875906,2.5913511751278833,"(-1.367466064672465, -1.1828431497653362)","(2.142441216240294, 3.6782278487263254)",0.047816936278670966,0.39776542137339876,True,False,-0.1842444434533005,-0.6704483064337552,0.41469780780119175
16,std_B1_Loc,-1.4668992330362058,2.071111827036319,"(-1.5923047696854942, -1.3783182464305008)","(1.8448440171604923, 2.2978484978412164)",0.060482152153195044,0.1280393059798513,True,True,-0.1218991298298209,-0.6547045370461886,0.54399440199418
17,mean_F2_Loc,-2.0216794146509973,1.8434793258424074,"(-2.374604752681099, -1.6594706098569862)","(1.6174678841176109, 2.031070138613071)",0.18502063973000568,0.107007831311648,True,True,-0.009801004605463706,-0.5037738512649783,0.4935208176171586
18,std_F2_Loc,-1.8025978241956389,2.0521070013738227,"(-2.0789199972894723, -1.5903518054055916)","(1.8052160604749277, 2.405636356239295)",0.1267459413864987,0.1557629761380409,True,True,-0.040039441738267914,-0.65746988167722,0.5817837281532722
