,feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,ci_lower_width/ri_width,ci_upper_width/ri_width,valid_CI_lower_limit,valid_CI_upper_limit,median,q1,q3
0,Speaking_Rate,-2.0655572038441377,1.813681514653202,"(-2.237294933495494, -1.937519470177802)","(1.6196880522328645, 2.0135652209763295)",0.07727687958162395,0.10153465597910848,True,True,0.04194237128201722,-0.6312275801225875,0.6778937254526345
1,Articulation_Rate,-2.0710048122529177,1.9146459117284724,"(-2.2662551668939552, -1.9070285086022305)","(1.713853863018199, 2.0800083319695597)",0.09012998959750344,0.09186817769761764,True,True,0.0118310948027362,-0.6459852308632237,0.6574259379189475
2,Phonation_Ratio,-2.8132413535122858,0.4818840169534896,"(-3.041075093775801, -2.571558997125904)","(0.4818840169534896, 0.4818840169534896)",0.14248808280806918,0.0,True,True,0.4818840169534896,-0.13804788942031276,0.4818840169534896
3,Pause_Rate,-0.5250458150906525,2.9817016865828316,"(-0.5250458150906525, -0.5250458150906525)","(2.537990778207819, 3.11788605557986)",0.0,0.1653655637012088,True,True,-0.5250458150906525,-0.5250458150906525,0.36662955229073263
4,Mean_Pause_Duration,-0.42991989780671275,2.111155082248842,"(-0.42991989780671275, -0.42991989780671275)","(1.7324371765674869, 2.5509565211046117)",0.0,0.3221153846153842,True,False,-0.42991989780671275,-0.42991989780671275,0.49854980644435504
5,mean_F0,-1.8712157988183487,2.0036117836026506,"(-1.9671913048491734, -1.7950039781120108)","(1.773575800958251, 2.2860925017567295)",0.04443741639455854,0.1322682596571838,True,True,-0.011479836991314683,-0.5993292002114576,0.6062024638410041
6,stdev_F0_Semitone,-1.5543670743660547,2.373524723075817,"(-1.6508411920388955, -1.4854764106613814)","(2.1412779035534633, 2.7128027340752547)",0.04210013663951019,0.14550421956480825,True,True,-0.11750930010309243,-0.6960616805236604,0.5036066759374902
7,mean_dB,-2.200371712847076,1.5306151183650163,"(-2.348824168107206, -2.0320415287704305)","(1.4530727107690447, 1.628672200724866)",0.08490585833396298,0.04706515940684089,True,True,0.10711123407212039,-0.6615150861329808,0.8045626857984591
8,range_ratio_dB,-0.17872822749500097,0.07695970065932023,"(-0.22284799341979838, -0.16793234812471075)","(0.05290434692443455, 0.11576935941002273)",0.21477605803095695,0.24586617342233624,False,False,-0.04285523379658552,-0.05343407459293058,-0.03206444297037667
9,HNR_dB,-1.8868950265128968,2.0196869549426193,"(-2.005441453104858, -1.75267032181131)","(1.8615392731860312, 2.221027975088688)",0.06470391060355281,0.09202128705071184,True,True,-0.061921016993237175,-0.6620346214037824,0.6050636566262977
10,Spectral_Slope,-1.8699934710321406,1.9857526072468157,"(-2.020640514217362, -1.7121565168184483)","(1.887687366420164, 2.257669990510889)",0.08000630517054376,0.09595616946224567,True,True,-0.053302261205920104,-0.7041490068130966,0.6945925013954333
11,Spectral_Tilt,-1.8467770076757803,1.982460777573237,"(-2.0633881939554795, -1.6908655034903501)","(1.773086662109355, 2.168850291955782)",0.09728377065016973,0.10335310890616065,True,True,-0.04344411761118762,-0.71109794778659,0.6804471994871263
12,Cepstral_Peak_Prominence,-1.9154815444549829,2.1314079172274587,"(-2.009831898440277, -1.8510101520268605)","(1.9425429610125093, 2.184843621709397)",0.039245387826182046,0.059873308374514995,True,True,-0.03091114356789873,-0.6703293138253505,0.620048413557366
13,mean_F1_Loc,-1.6391496483699248,2.2320174908594277,"(-1.738784781037036, -1.5573054780692075)","(1.8804995342740285, 2.43336284064143)",0.04687973844600166,0.14281566423852785,True,True,-0.07101885960181281,-0.673047716362443,0.550960479968452
14,std_F1_Loc,-1.4378331555941406,2.2667875624724445,"(-1.5429105932094733, -1.3923995780503198)","(2.0640351145517033, 2.68109044882505)",0.04062791486997464,0.1665637001013652,True,True,-0.1457924665894634,-0.649741123305951,0.4744665805870132
15,mean_B1_Loc,-1.635404037458923,2.2464403977537892,"(-1.7200568032210297, -1.513304303754231)","(1.9473924941591583, 2.489527188150804)",0.053261407796592775,0.13965904688860584,True,True,-0.11777085311876667,-0.6906150683233637,0.5794165005217808
16,std_B1_Loc,-1.772443756502855,2.292955014798303,"(-1.8634129661096739, -1.6622789433081357)","(2.035589958524017, 2.547506727353542)",0.04947461100775702,0.12592043182658877,True,True,-0.02986142094801527,-0.7268291326906089,0.6063566884719209
17,mean_F2_Loc,-2.2541569552453415,1.8654370001500813,"(-2.3734963073178683, -1.9470130202687235)","(1.7783151872758274, 2.034926628812949)",0.10352556384606318,0.062290469477225545,True,True,0.06383099596812104,-0.612108786283367,0.6485588971438346
18,std_F2_Loc,-1.887320117149069,2.185904589191307,"(-2.0813541932359243, -1.7204290906222661)","(1.949694789893553, 2.3166379769470598)",0.08860918035085141,0.09008665455709415,True,True,-0.03272093020337382,-0.6611910907678014,0.6447167925341188
19,mean_B2_Loc,-1.7070107710037594,2.1828651810843045,"(-1.775113099248662, -1.6098675312360051)","(2.013447087122041, 2.3100615405061022)",0.04248093513726418,0.07625293377924824,True,True,-0.10564486217967048,-0.6604332783748148,0.571734519830065
20,std_B2_Loc,-1.9963599460048993,2.1486468689603933,"(-2.0762814371218887, -1.8011975203923478)","(1.9195806061517178, 2.285512155922348)",0.06636513014559285,0.08828249653280593,True,True,-0.02098345829653834,-0.6243827931979306,0.5801500592687456
21,Spectral_Gravity,-1.3743752933261653,2.5100105699397073,"(-1.5021423027032326, -1.31392171148345)","(2.252553350698413, 2.839094176870989)",0.0484556884525196,0.15099962949598186,True,True,-0.19049542842442332,-0.6955939688690477,0.4195622225713799
22,Spectral_Std_Dev,-1.3675539497520863,2.5162557973617026,"(-1.4247549792238827, -1.290842059879782)","(2.2806746152615993, 2.7809427051186217)",0.034479783527917814,0.1288085983688545,True,True,-0.1974555180971007,-0.6944823723184422,0.44757833461979335
23,Spectral_Skewness,-1.4749539264322402,2.580794645737618,"(-1.5263934897056397, -1.365704798816919)","(2.2001663212028473, 2.807663354768214)",0.03961998334693387,0.14978666028115029,True,True,-0.1529571773487081,-0.6760053534018166,0.46688040104882195
