,feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,ci_lower_width/ri_width,ci_upper_width/ri_width,valid_CI_lower_limit,valid_CI_upper_limit,median,q1,q3
0,Speaking_Rate,-1.951074444244519,2.0274384574482665,"(-2.0430659112053693, -1.889482685372107)","(1.873513559336328, 2.092349649861843)",0.03860317400703048,0.05500449437587705,True,True,0.008781678663717487,-0.6363883493743973,0.6465245699512934
1,Articulation_Rate,-1.9813095093336712,2.037868488681287,"(-2.0592242557059404, -1.9100428425836777)","(1.9540618612540428, 2.1225700493751223)",0.03711739395367465,0.04192603268735657,True,True,-0.008460439920820857,-0.6355660899904235,0.6449676469915782
2,Phonation_Ratio,-2.8715523781601275,0.4704640709319927,"(-3.035941580347264, -2.7171930131683935)","(0.4704640709319927, 0.4704640709319927)",0.09537612158236397,0.0,True,True,0.4704640709319927,0.4704640709319927,0.4704640709319927
3,Pause_Rate,-0.5144338738173846,2.774186463022924,"(-0.5144338738173846, -0.5144338738173846)","(2.6455941455382828, 2.884351818111822)",0.0,0.07260116648276173,True,True,-0.5144338738173846,-0.5144338738173846,-0.5144338738173846
4,Mean_Pause_Duration,-0.3717307864738716,1.758615686349329,"(-0.3717307864738716, -0.3717307864738716)","(1.6679626449525968, 1.8945952484444262)",0.0,0.10638297872340402,True,True,-0.3717307864738716,-0.3717307864738716,-0.3717307864738716
5,mean_F0,-1.2180328787802834,2.6919592820463927,"(-1.2405759347778662, -1.1975793830403305)","(2.538344863873357, 2.8603228740704423)",0.010996582593773048,0.08234748228472427,True,True,-0.20489472597423602,-0.6062217105881708,0.31482609898871183
6,stdev_F0_Semitone,-1.37427122082684,2.340322385090313,"(-1.4010759606283691, -1.3483300121673998)","(2.168706216114545, 2.6784722304568445)",0.014199655213143056,0.13723332036383973,True,True,-0.15495775162988476,-0.6543319723156905,0.432188444945517
7,mean_dB,-2.3139835119355325,1.5465788501050997,"(-2.439470698329487, -2.179544127804986)","(1.4929973472486828, 1.5972932205455093)",0.06732868068140933,0.027015720383725985,True,True,0.14483979734489566,-0.571965055815578,0.7384920296620956
8,range_ratio_dB,-0.09216242034518407,0.08686897727194351,"(-0.11604931780547383, -0.08002609041446423)","(0.07646005985987181, 0.10768596372397772)",0.20121178670597228,0.1744157967804335,False,True,0.009797834275684742,0.007470959283874064,0.014989717678591103
9,HNR_dB,-1.7959108153874088,2.1518372471708376,"(-1.8435504548248862, -1.7533565587387456)","(2.0566901435949916, 2.2250389308104377)",0.022846923019624644,0.04264425808022602,True,True,-0.07046931895876897,-0.6617777863193544,0.6169983883906729
