,feature,RI_lower_limit,RI_upper_limit,CI_for_lower_limit,CI_for_upper_limit,ci_lower_width/ri_width,ci_upper_width/ri_width,valid_CI_lower_limit,valid_CI_upper_limit,median,q1,q3
0,Speaking_Rate,-2.180159401041268,1.7568800730821528,"(-2.447767295278863, -1.828975614489249)","(1.5957054225148202, 1.8937249949736448)",0.15717182539232413,0.07569636383317656,True,True,0.0409242078650868,-0.5607297017146546,0.6345197118914447
1,Articulation_Rate,-2.0610432779022805,2.1258967673968754,"(-2.458976117567396, -1.6973373369800873)","(1.771791689671451, 2.293659176467689)",0.18190821276326394,0.12464173863252692,True,True,0.017950514877363613,-0.6360678041577199,0.6197688569907663
2,Phonation_Ratio,-2.3720673871933777,1.7781881588061725,"(-2.9838170421105277, -1.9707968751353941)","(1.3300568218413682, 1.7781881588061725)",0.2440862148721392,0.10797680576483058,False,True,0.07248616716969224,-0.4827592856013895,0.6997547660614476
3,Pause_Rate,-2.1302811810341487,2.1764402950793866,"(-2.1302811810341487, -1.3922919782539)","(1.7368721547411732, 2.3792935860096716)",0.17135754120004612,0.14916716458948517,True,True,-0.01325910705189206,-0.6079839842163656,0.5634058906850814
4,Mean_Pause_Duration,-3.362959374301105,1.7503036945535926,"(-3.362959374301105, -1.311630402954478)","(1.6206710998365381, 2.132282313523593)",0.401178062564674,0.10005571917535798,False,True,-0.011525079844770057,-0.562732524526351,0.5117731271314112
5,mean_F0,-2.1156155078060443,1.909973559887037,"(-2.3412385537974263, -1.8578106939147994)","(1.6661343782924518, 2.0529773627855135)",0.1200887253401803,0.09609599439685165,True,True,0.10283242142328058,-0.5022039993215992,0.6068607880735152
6,stdev_F0_Semitone,-1.4494106985957078,2.7690123659597865,"(-1.5774081432331448, -1.3706568137905601)","(2.047017213423038, 3.0203826091963495)",0.04901152072199059,0.23074153087010896,True,False,-0.17292884981937398,-0.669226122710199,0.48952289917228775
7,mean_dB,-2.665915693036242,0.9109067432894119,"(-3.802640813897553, -2.3463977405236713)","(0.8434013629768273, 0.981426012460009)",0.4071331745698369,0.03858862214725136,False,True,0.3343885448699104,-0.18373328077887008,0.5567110226497577
8,range_ratio_dB,-0.6928886176703922,0.6731523286253341,"(-0.9698688202610357, -0.4122364921487883)","(0.3712587798085957, 0.7621227575701863)",0.40821055153900837,0.28612903502013676,False,False,-0.026713068611410873,-0.06326105258116699,-0.00011716758672660869
9,HNR_dB,-1.9277359178019262,2.0863603360401086,"(-2.2288199535734092, -1.7839513366359891)","(1.8246896664609755, 2.407584883838534)",0.11082659428298972,0.14521206780222287,True,True,-0.020147499542199673,-0.601574277787202,0.6379915735350312
10,Spectral_Slope,-1.7981086653457374,1.8603453631080842,"(-1.9291772332391466, -1.647831503255513)","(1.7618060408393663, 2.069340578348472)",0.0769029015522546,0.08406133714329593,True,True,-0.042354410919814775,-0.6697002312561475,0.5863829619102906
11,Spectral_Tilt,-1.9889671824911992,1.8573455051648389,"(-2.1428434119034026, -1.7652182342434626)","(1.6440421304581478, 2.13707523215905)",0.09817849153862387,0.12818331262645186,True,True,-0.007151633240609464,-0.6066984898241989,0.5752685486892185
12,Cepstral_Peak_Prominence,-1.7476112973108504,2.2040936679925482,"(-1.9722467338460083, -1.6095924666751515)","(1.936400115904219, 2.324043540189518)",0.091771594882467,0.09809523425682594,True,True,-0.0633151140626678,-0.737608406838829,0.6464197377958055
13,mean_F1_Loc,-1.6146654697979235,1.6577388896252372,"(-1.752554268059258, -1.4907673666250043)","(1.4752035997135335, 2.055514347384098)",0.07999833537698867,0.17733467014842202,True,True,-0.027596922488873868,-0.5254980606869266,0.4278742409397454
14,std_F1_Loc,-1.4742933858072087,1.8615570605634075,"(-1.567223874882108, -1.3608237255419942)","(1.6688601591176058, 2.710700101209634)",0.06187332215827474,0.312316142117685,True,False,-0.13063397044620928,-0.6620642803030277,0.6010406004701765
15,mean_B1_Loc,-1.522459900227834,1.999607549372369,"(-1.6380950379948596, -1.4456178224333465)","(1.7281784175566106, 2.5299021983259635)",0.054648929447209074,0.22762874142582312,True,False,-0.15451451904757438,-0.6148631588136836,0.4704859233981653
16,std_B1_Loc,-1.935943490710445,1.7738974254260345,"(-1.951019619257214, -1.716430247843102)","(1.6241083042040725, 2.157774916327661)",0.0632343479726401,0.14385161633274623,True,True,0.008292406832431612,-0.7094220555528763,0.7005975391657447
17,mean_F2_Loc,-2.575430544619588,1.529521926097811,"(-3.0745161207280978, -2.143239871437887)","(1.3599314829943185, 1.684010039332572)",0.22686651208106604,0.07894818725674946,False,True,0.13591194031258486,-0.4992885866754282,0.6598219924109898
18,std_F2_Loc,-1.6584226920640832,2.087078610913142,"(-1.9087707031798402, -1.5032303027439586)","(1.8459460190643282, 2.360843344714899)",0.10827399795950558,0.13747087078605177,True,True,-0.14830089937544705,-0.6967100273459428,0.6097867663652867
19,mean_B2_Loc,-1.729642276218843,2.0566280139055517,"(-1.834601631874766, -1.6129804391984417)","(1.833926590047211, 2.331087833011111)",0.058532850455597855,0.1313063265083397,True,True,-0.08528170036618204,-0.7373243674236264,0.650258393024054
20,std_B2_Loc,-1.8788683934293389,2.0680599869740592,"(-2.143457486322293, -1.5511528628590168)","(1.7040785130319143, 2.1794751937011934)",0.15006723365037072,0.120447252863679,True,True,0.04579707790826039,-0.7328204620603951,0.7061177974025383
21,Spectral_Gravity,-1.1723916783231962,2.0282411534437066,"(-1.2412925203512821, -1.0463350165360952)","(1.6257412448599717, 2.326877491355535)",0.06091217395516156,0.21906175539307407,True,False,-0.1655512647095736,-0.5307897484914609,0.3045940092840705
22,Spectral_Std_Dev,-1.3663522826635857,2.220593641877995,"(-1.4460499738475063, -1.3305037824644421)","(1.9854166501217536, 2.5330901377102624)",0.032212972766750385,0.15268518096171263,True,True,-0.17929830319203985,-0.7227870989670712,0.5455279028766566
23,Spectral_Skewness,-1.458049255324923,2.3307535514758007,"(-1.646411516111524, -1.3506895216601644)","(1.8752167439597744, 2.5057837773827862)",0.07805156655832086,0.16642909794386065,True,True,-0.1384949105887773,-0.6258769308961516,0.48271019090548134
24,Spectral_Kurtosis,-1.0370660270436303,2.3003557223598485,"(-1.107237505748414, -0.9855443890184441)","(1.9468406297522185, 2.7680739561779677)",0.036463211984437104,0.24606818918601883,True,False,-0.26055143925265745,-0.6002193054600207,0.35542924450112234
